produto,categoria,estoque_inicial,vendas_do_mes,custo_unitario,preco_venda
Bloco de Concreto Comum,Elétrica,898,146,241.39,379.66
Cimento Residencial,Iluminação,856,181,35.89,71.97
Telha Cerâmica Reforçada,Estrutura,496,337,316.95,755.22
Brita Reforçada,Acabamento,787,36,43.96,59.24
Tijolo Comercial,Iluminação,670,81,91.81,152.88
Tomada Residencial,Hidráulica,256,11,133.12,175.56
Interruptor Reforçada,Estrutura,263,3,375.63,674.37
Madeira Serrada Extra,Iluminação,509,494,86.16,159.96
Porta de Madeira Refinada,Estrutura,550,42,424.08,1027.07
Porta de Madeira Industrial,Acabamento,361,410,70.29,117.91
Prego Extra,Hidráulica,521,50,22.45,42.51
Madeira Serrada Reforçada,Estrutura,787,260,200.55,469.16
Tinta Acrílica Extra,Iluminação,22,133,489.82,759.2
Telha Cerâmica Premium,Acabamento,568,460,59.62,121.85
Janela de Alumínio Premium,Acabamento,160,86,55.35,119.56
Janela de Alumínio Industrial,Iluminação,59,361,376.83,588.89
Tijolo Reforçada,Iluminação,224,55,159.52,212.17
Fio Elétrico Reforçada,Estrutura,653,216,360.05,649.56
Tijolo Premium,Elétrica,381,365,104.01,166.37
Telha de Zinco Extra,Acabamento,122,67,232.74,342.84
Tomada Extra,Estrutura,261,499,136.32,335.73
Porta de Madeira Reforçada,Iluminação,972,351,228.51,412.01
Tijolo Industrial,Estrutura,350,43,385.7,886.75
Bloco de Concreto Refinada,Iluminação,62,142,382.19,524.92
Brita Premium,Hidráulica,139,345,260.31,628.71
Tijolo Residencial,Iluminação,845,41,464.54,1027.66
Argamassa Premium,Iluminação,202,138,135.57,302.62
Bloco de Concreto Reforçada,Iluminação,600,72,123.95,203.98
Tinta Acrílica Industrial,Elétrica,66,266,308.83,549.68
Canos PVC Reforçada,Iluminação,106,193,312.54,603.42
Lâmpada LED Refinada,Acabamento,207,492,28.04,61.85
Prego Reforçada,Acabamento,656,154,305.85,699.99
Tomada Industrial,Estrutura,156,245,190.35,230.18
Areia Comum,Elétrica,693,313,374.98,887.09
Tinta Acrílica Residencial,Estrutura,584,217,405.01,977.08
Prego Industrial,Acabamento,586,455,278.32,537.17
Rejunte Residencial,Acabamento,304,383,5.84,7.95
Porta de Madeira Comercial,Hidráulica,732,252,320.0,718.65
Rejunte Reforçada,Iluminação,630,276,375.7,701.82
Lâmpada LED Residencial,Acabamento,803,276,128.25,287.8
Parafuso Comercial,Estrutura,693,71,235.0,526.57
Cimento Comum,Estrutura,21,128,483.03,589.98
Telha de Zinco Refinada,Iluminação,927,357,152.57,297.49
Telha Cerâmica Refinada,Iluminação,342,185,115.46,205.1
Telha Cerâmica Industrial,Hidráulica,229,12,109.37,265.17
Bloco de Concreto Premium,Elétrica,407,328,281.61,426.72
Bloco de Concreto Industrial,Estrutura,351,219,475.14,659.68
Telha Cerâmica Extra,Iluminação,807,5,306.3,721.62
Areia Industrial,Estrutura,521,238,155.14,202.95
Lâmpada LED Comercial,Iluminação,181,470,321.09,661.81
Parafuso Comum,Acabamento,477,111,314.3,477.74
Tinta Acrílica Comercial,Estrutura,757,227,300.48,569.4
Parafuso Residencial,Acabamento,996,441,83.92,164.71
Parafuso Reforçada,Estrutura,175,16,319.11,537.48
Brita Refinada,Elétrica,708,72,217.93,537.19
Janela de Alumínio Extra,Hidráulica,179,11,14.2,18.24
Fio Elétrico Residencial,Acabamento,573,85,272.18,448.54
Fio Elétrico Refinada,Iluminação,521,498,494.69,842.24
Brita Residencial,Elétrica,840,179,178.12,353.29
Canos PVC Comercial,Estrutura,198,121,482.95,806.61
Porta de Madeira Premium,Acabamento,129,203,52.62,65.03
Tomada Refinada,Estrutura,114,69,367.56,891.85
Tinta Acrílica Refinada,Estrutura,683,107,61.59,103.63
Interruptor Comum,Estrutura,816,200,140.42,221.83
Canos PVC Extra,Hidráulica,50,51,287.57,496.18
Telha Cerâmica Comum,Hidráulica,898,36,298.43,418.77
Canos PVC Premium,Iluminação,885,116,388.73,482.15
Janela de Alumínio Refinada,Acabamento,686,258,309.58,404.93
Telha Cerâmica Residencial,Elétrica,330,481,298.84,398.45
Argamassa Extra,Elétrica,895,263,456.61,628.63
Cimento Reforçada,Elétrica,344,393,228.82,386.24
Madeira Serrada Refinada,Estrutura,169,302,116.51,229.93
Madeira Serrada Comercial,Hidráulica,273,424,85.09,168.52
Fio Elétrico Premium,Acabamento,874,63,203.0,223.33
Telha de Zinco Comercial,Estrutura,539,41,357.81,854.93
Areia Reforçada,Hidráulica,694,42,26.06,58.69
Tomada Comercial,Hidráulica,486,124,68.88,168.72
Tijolo Refinada,Acabamento,361,392,57.53,92.28
Madeira Serrada Residencial,Acabamento,554,269,294.7,598.45
Areia Residencial,Acabamento,782,484,125.22,167.2
Tijolo Comum,Estrutura,219,346,87.3,195.89
Rejunte Comum,Iluminação,505,232,298.42,395.68
Parafuso Industrial,Acabamento,904,479,381.85,594.3
Tomada Comum,Iluminação,851,131,169.42,302.78
Janela de Alumínio Reforçada,Estrutura,391,1,291.21,562.72
Tinta Acrílica Premium,Iluminação,685,114,53.57,100.9
Porta de Madeira Extra,Elétrica,490,480,467.92,581.59
Brita Comum,Iluminação,928,468,171.76,290.33
Argamassa Refinada,Acabamento,945,0,498.77,1193.09
Telha de Zinco Premium,Estrutura,14,491,489.4,1136.05
Parafuso Premium,Acabamento,43,330,390.52,752.57
Telha de Zinco Residencial,Elétrica,801,64,14.93,28.39
Telha Cerâmica Comercial,Acabamento,154,429,274.02,344.26
Interruptor Refinada,Acabamento,360,442,47.98,66.23
Madeira Serrada Comum,Acabamento,592,458,448.09,651.39
Prego Comercial,Hidráulica,474,124,395.87,706.02
Areia Comercial,Elétrica,357,255,486.31,1032.87
Fio Elétrico Extra,Acabamento,751,390,306.15,534.24
Parafuso Refinada,Acabamento,134,321,263.48,336.33
Tomada Premium,Acabamento,799,142,261.89,449.16
Tomada Reforçada,Estrutura,280,327,196.29,260.61
Lâmpada LED Premium,Hidráulica,366,245,237.0,509.93
Madeira Serrada Industrial,Estrutura,536,115,319.53,425.97
Telha de Zinco Industrial,Hidráulica,763,376,466.81,828.84
Lâmpada LED Industrial,Acabamento,507,302,299.96,621.15
Argamassa Residencial,Elétrica,162,89,429.27,609.34
Interruptor Industrial,Iluminação,62,295,432.08,521.28
Prego Premium,Iluminação,158,41,261.82,494.48
Porta de Madeira Residencial,Acabamento,512,434,177.0,208.13
Janela de Alumínio Comum,Estrutura,879,34,321.59,618.38
Brita Industrial,Elétrica,459,499,225.71,486.38
Cimento Extra,Hidráulica,228,493,45.31,70.73
Cimento Comercial,Acabamento,634,488,192.02,342.5
Janela de Alumínio Residencial,Elétrica,809,40,497.07,1193.1
Cimento Industrial,Elétrica,286,340,29.01,51.04
Canos PVC Residencial,Hidráulica,461,123,349.85,872.94
Brita Extra,Elétrica,437,56,421.39,556.15
Fio Elétrico Comercial,Estrutura,92,293,326.12,682.41
Telha de Zinco Comum,Estrutura,971,455,287.03,577.98
Bloco de Concreto Extra,Estrutura,227,234,355.24,824.59
Lâmpada LED Comum,Elétrica,747,95,217.52,267.42
Rejunte Industrial,Estrutura,791,391,50.22,74.94
Interruptor Premium,Hidráulica,536,491,481.37,618.58
Argamassa Reforçada,Elétrica,413,457,218.99,526.96
Canos PVC Comum,Iluminação,299,318,334.37,567.52
Madeira Serrada Premium,Elétrica,429,342,268.0,636.26
Parafuso Extra,Hidráulica,348,131,32.06,48.48
Argamassa Comum,Iluminação,786,175,476.61,608.59
Rejunte Premium,Elétrica,720,51,397.31,601.99
Tijolo Extra,Estrutura,679,37,78.8,152.56
Cimento Premium,Acabamento,854,477,490.92,1120.93
Brita Comercial,Acabamento,996,488,369.77,606.26
Prego Comum,Estrutura,968,342,238.8,568.52
Rejunte Extra,Acabamento,428,4,307.63,443.58
Janela de Alumínio Comercial,Acabamento,918,212,57.83,119.76
Porta de Madeira Comum,Estrutura,216,119,282.4,601.51
Areia Refinada,Estrutura,695,325,41.46,61.51
Tinta Acrílica Comum,Elétrica,705,368,274.7,312.54
Prego Refinada,Elétrica,274,208,278.58,448.88
Argamassa Industrial,Estrutura,992,216,437.85,509.34
Interruptor Extra,Hidráulica,767,23,363.9,859.19
Prego Residencial,Acabamento,45,341,128.53,312.96
Interruptor Residencial,Elétrica,382,204,444.77,947.15
Areia Extra,Acabamento,497,400,288.76,611.41
Cimento Refinada,Iluminação,268,461,305.16,438.59
Lâmpada LED Extra,Estrutura,540,225,88.65,106.69
Fio Elétrico Comum,Hidráulica,933,217,429.6,954.98
Interruptor Comercial,Iluminação,32,210,465.83,877.08
Bloco de Concreto Comercial,Iluminação,113,25,388.62,798.33
Bloco de Concreto Residencial,Iluminação,250,251,470.67,1031.47
Fio Elétrico Industrial,Estrutura,912,2,154.64,258.74
Rejunte Refinada,Elétrica,882,1,431.25,561.65
Canos PVC Refinada,Estrutura,725,91,247.0,546.62
Telha de Zinco Reforçada,Elétrica,262,1,86.14,149.48
Areia Premium,Iluminação,151,149,336.06,758.72
Tinta Acrílica Reforçada,Iluminação,823,70,343.64,588.58
Lâmpada LED Reforçada,Hidráulica,664,3,147.03,206.4
Argamassa Comercial,Elétrica,460,496,18.61,24.93
Canos PVC Industrial,Iluminação,792,37,103.92,222.54
Rejunte Comercial,Acabamento,316,358,202.89,386.47
Bloco de Concreto Comum,Hidráulica,993,467,87.94,146.55
Cimento Residencial,Estrutura,509,69,101.04,180.76
Telha Cerâmica Reforçada,Hidráulica,631,200,198.74,371.54
Brita Reforçada,Acabamento,17,307,481.08,690.44
Tijolo Comercial,Elétrica,78,251,383.3,624.56
Tomada Residencial,Estrutura,711,286,163.28,246.45
Interruptor Reforçada,Estrutura,700,409,476.04,782.51
Madeira Serrada Extra,Elétrica,584,291,324.6,584.54
Porta de Madeira Refinada,Hidráulica,77,153,230.45,309.43
Porta de Madeira Industrial,Iluminação,727,411,236.81,390.95
Prego Extra,Hidráulica,921,132,208.32,341.58
Madeira Serrada Reforçada,Acabamento,989,370,120.33,180.54
Tinta Acrílica Extra,Iluminação,417,73,196.38,490.54
Telha Cerâmica Premium,Hidráulica,527,273,266.31,320.39
Janela de Alumínio Premium,Elétrica,128,270,266.37,532.78
Janela de Alumínio Industrial,Acabamento,834,184,382.06,513.57
Tijolo Reforçada,Acabamento,40,352,182.6,415.48
Fio Elétrico Reforçada,Acabamento,527,4,359.82,856.33
Tijolo Premium,Iluminação,492,292,291.16,483.93
Telha de Zinco Extra,Estrutura,216,359,481.11,1083.88
Tomada Extra,Iluminação,678,85,195.72,283.77
Porta de Madeira Reforçada,Hidráulica,588,213,451.1,584.67
Tijolo Industrial,Estrutura,980,405,411.22,634.2
Bloco de Concreto Refinada,Hidráulica,396,435,320.64,506.08
Brita Premium,Estrutura,421,14,328.98,544.89
Tijolo Residencial,Iluminação,851,272,46.9,76.08
Argamassa Premium,Acabamento,379,50,475.36,796.51
Bloco de Concreto Reforçada,Elétrica,362,252,57.93,121.31
Tinta Acrílica Industrial,Acabamento,953,44,283.8,409.75
Canos PVC Reforçada,Iluminação,345,190,168.39,189.61
Lâmpada LED Refinada,Estrutura,900,121,217.78,388.86
Prego Reforçada,Acabamento,915,411,307.04,530.44
Tomada Industrial,Iluminação,298,186,454.88,538.62
Areia Comum,Hidráulica,972,213,231.5,298.02
Tinta Acrílica Residencial,Elétrica,974,148,493.93,895.93
Prego Industrial,Acabamento,149,169,298.44,426.37
Rejunte Residencial,Estrutura,962,208,84.47,196.7
Porta de Madeira Comercial,Hidráulica,309,452,99.05,132.99
Rejunte Reforçada,Iluminação,22,81,359.47,405.54
Lâmpada LED Residencial,Elétrica,673,400,29.95,51.71
Parafuso Comercial,Estrutura,437,195,242.77,602.22
Cimento Comum,Iluminação,834,245,78.37,155.75
Telha de Zinco Refinada,Iluminação,873,390,219.44,350.15
Telha Cerâmica Refinada,Acabamento,409,344,376.21,422.72
Telha Cerâmica Industrial,Acabamento,118,356,232.11,412.91
Bloco de Concreto Premium,Estrutura,494,39,85.91,119.33
Bloco de Concreto Industrial,Iluminação,897,167,129.7,260.29
Telha Cerâmica Extra,Acabamento,365,42,186.93,358.2
Areia Industrial,Elétrica,158,328,39.43,58.01
Lâmpada LED Comercial,Elétrica,888,210,294.25,352.05
Parafuso Comum,Iluminação,725,178,305.73,659.47
Tinta Acrílica Comercial,Acabamento,316,456,35.77,68.67
Parafuso Residencial,Estrutura,542,22,204.14,465.23
Parafuso Reforçada,Estrutura,69,94,209.93,307.28
Brita Refinada,Estrutura,444,159,170.24,342.86
Janela de Alumínio Extra,Elétrica,30,243,281.08,355.89
Fio Elétrico Residencial,Acabamento,884,414,176.25,265.88
Fio Elétrico Refinada,Acabamento,391,16,211.12,426.28
Brita Residencial,Elétrica,254,111,399.77,901.81
Canos PVC Comercial,Estrutura,911,102,85.24,132.06
Porta de Madeira Premium,Estrutura,82,313,311.46,690.94
Tomada Refinada,Iluminação,458,85,255.27,523.01
Tinta Acrílica Refinada,Hidráulica,85,34,156.01,247.77
Interruptor Comum,Acabamento,707,29,365.13,849.64
Canos PVC Extra,Acabamento,599,191,277.84,503.7
Telha Cerâmica Comum,Acabamento,399,436,241.29,484.4
Canos PVC Premium,Hidráulica,586,178,335.5,601.85
Janela de Alumínio Refinada,Iluminação,351,103,402.13,697.22
Telha Cerâmica Residencial,Hidráulica,299,164,486.47,1112.64
Argamassa Extra,Estrutura,577,473,316.53,478.78
Cimento Reforçada,Estrutura,340,121,437.85,504.09
Madeira Serrada Refinada,Acabamento,268,133,5.54,12.92
Madeira Serrada Comercial,Elétrica,435,289,267.47,603.15
Fio Elétrico Premium,Acabamento,711,311,111.25,179.47
Telha de Zinco Comercial,Elétrica,15,223,51.63,70.2
Areia Reforçada,Hidráulica,15,24,268.33,548.94
Tomada Comercial,Estrutura,200,370,374.68,453.46
Tijolo Refinada,Elétrica,157,12,209.07,354.01
Madeira Serrada Residencial,Hidráulica,414,318,336.7,410.84
Areia Residencial,Estrutura,267,229,247.41,479.25
Tijolo Comum,Elétrica,739,101,221.36,251.93
Rejunte Comum,Acabamento,488,449,148.68,294.53
Parafuso Industrial,Acabamento,99,377,194.38,397.02
Tomada Comum,Acabamento,833,375,178.15,317.46
Janela de Alumínio Reforçada,Hidráulica,873,388,324.86,436.94
Tinta Acrílica Premium,Acabamento,19,202,62.43,77.54
Porta de Madeira Extra,Iluminação,96,266,50.86,78.25
Brita Comum,Estrutura,771,471,331.71,580.92
Argamassa Refinada,Hidráulica,847,461,275.42,550.59
Telha de Zinco Premium,Acabamento,160,364,217.95,240.13
Parafuso Premium,Estrutura,997,221,80.46,168.6
Telha de Zinco Residencial,Elétrica,634,103,208.46,437.31
Telha Cerâmica Comercial,Acabamento,39,110,395.92,681.91
Interruptor Refinada,Estrutura,137,427,445.36,704.01
Madeira Serrada Comum,Iluminação,87,482,352.78,804.07
Prego Comercial,Elétrica,430,468,34.66,76.2
Areia Comercial,Iluminação,64,68,336.85,834.24
Fio Elétrico Extra,Estrutura,489,357,124.29,201.44
Parafuso Refinada,Iluminação,314,257,161.05,381.62
Tomada Premium,Estrutura,555,167,101.96,124.63
Tomada Reforçada,Estrutura,114,292,389.0,651.98
Lâmpada LED Premium,Iluminação,181,373,326.06,571.1
Madeira Serrada Industrial,Estrutura,508,48,307.86,528.66
Telha de Zinco Industrial,Acabamento,31,249,335.65,662.95
Lâmpada LED Industrial,Estrutura,296,481,122.2,163.54
Argamassa Residencial,Hidráulica,400,330,225.1,520.66
Interruptor Industrial,Estrutura,626,419,318.46,596.31
Prego Premium,Hidráulica,158,74,320.11,757.35
Porta de Madeira Residencial,Estrutura,281,200,396.97,438.13
Janela de Alumínio Comum,Estrutura,797,453,147.12,291.59
Brita Industrial,Iluminação,308,33,386.32,648.03
Cimento Extra,Acabamento,181,313,222.89,402.79
Cimento Comercial,Acabamento,56,110,336.74,721.07
Janela de Alumínio Residencial,Elétrica,635,420,230.58,326.97
Cimento Industrial,Iluminação,796,351,474.56,658.15
Canos PVC Residencial,Iluminação,825,315,93.75,195.39
Brita Extra,Acabamento,216,395,339.13,620.58
Fio Elétrico Comercial,Iluminação,462,236,290.38,414.4
Telha de Zinco Comum,Acabamento,404,31,90.5,160.88
Bloco de Concreto Extra,Iluminação,984,208,37.67,65.67
Lâmpada LED Comum,Estrutura,934,131,400.58,828.41
Rejunte Industrial,Acabamento,763,105,82.94,91.54
Interruptor Premium,Acabamento,310,32,97.32,187.0
Argamassa Reforçada,Hidráulica,717,42,489.32,953.17
Canos PVC Comum,Iluminação,685,367,360.04,771.82
Madeira Serrada Premium,Iluminação,185,106,128.99,302.47
Parafuso Extra,Acabamento,864,264,297.52,510.62
Argamassa Comum,Estrutura,792,225,269.39,425.51
Rejunte Premium,Estrutura,119,486,423.01,525.91
Tijolo Extra,Estrutura,693,178,366.01,575.21
Cimento Premium,Iluminação,972,221,416.7,498.32
Brita Comercial,Hidráulica,873,369,109.7,243.97
Prego Comum,Acabamento,211,124,321.91,717.8
Rejunte Extra,Elétrica,177,275,24.92,41.97
Janela de Alumínio Comercial,Hidráulica,623,166,39.13,57.27
Porta de Madeira Comum,Elétrica,95,150,358.2,453.2
Areia Refinada,Hidráulica,663,40,17.09,39.17
Tinta Acrílica Comum,Estrutura,968,299,291.98,679.87
Prego Refinada,Iluminação,858,380,421.0,620.05
Argamassa Industrial,Elétrica,734,34,193.07,380.44
Interruptor Extra,Hidráulica,60,406,27.2,39.77
Prego Residencial,Iluminação,121,313,358.35,507.13
Interruptor Residencial,Elétrica,472,303,465.19,525.52
Areia Extra,Acabamento,451,230,360.0,686.89
Cimento Refinada,Hidráulica,280,214,291.33,381.62
Lâmpada LED Extra,Acabamento,586,313,118.86,132.8
Fio Elétrico Comum,Estrutura,353,100,12.61,15.72
Interruptor Comercial,Acabamento,192,56,348.86,536.99
Bloco de Concreto Comercial,Acabamento,512,214,119.36,243.12
Bloco de Concreto Residencial,Hidráulica,853,422,429.79,594.69
Fio Elétrico Industrial,Estrutura,19,155,235.85,552.51
Rejunte Refinada,Acabamento,503,63,267.66,402.53
Canos PVC Refinada,Iluminação,243,61,378.2,591.4
Telha de Zinco Reforçada,Elétrica,307,338,390.82,549.17
Areia Premium,Acabamento,253,368,323.11,470.23
Tinta Acrílica Reforçada,Estrutura,518,367,469.52,565.2
Lâmpada LED Reforçada,Acabamento,360,61,491.24,743.09
Argamassa Comercial,Elétrica,276,93,473.71,1091.17
Canos PVC Industrial,Estrutura,639,468,412.97,852.29
Rejunte Comercial,Hidráulica,665,471,354.28,823.83
Bloco de Concreto Comum,Estrutura,902,340,333.35,415.62
Cimento Residencial,Hidráulica,210,25,56.36,97.95
Telha Cerâmica Reforçada,Estrutura,248,434,139.38,198.05
Brita Reforçada,Elétrica,343,120,7.82,16.5
Tijolo Comercial,Elétrica,924,49,73.02,179.51
Tomada Residencial,Estrutura,424,370,222.42,498.56
Interruptor Reforçada,Acabamento,978,251,77.54,89.12
Madeira Serrada Extra,Elétrica,493,35,451.32,696.53
Porta de Madeira Refinada,Hidráulica,446,409,403.82,460.36
Porta de Madeira Industrial,Hidráulica,255,288,40.45,46.77
Prego Extra,Iluminação,867,378,128.21,155.3
Madeira Serrada Reforçada,Hidráulica,17,99,410.44,610.27
Tinta Acrílica Extra,Iluminação,161,323,402.51,614.18
Telha Cerâmica Premium,Estrutura,401,328,473.0,785.48
Janela de Alumínio Premium,Estrutura,220,135,498.79,831.43
Janela de Alumínio Industrial,Estrutura,376,193,488.25,1064.37
Tijolo Reforçada,Acabamento,953,220,208.02,270.0
Fio Elétrico Reforçada,Acabamento,679,278,128.91,170.27
Tijolo Premium,Iluminação,579,325,380.41,752.16
Telha de Zinco Extra,Hidráulica,95,54,153.14,291.03
Tomada Extra,Hidráulica,64,426,404.17,531.73
Porta de Madeira Reforçada,Estrutura,722,483,269.31,617.57
Tijolo Industrial,Elétrica,643,109,397.99,621.14
Bloco de Concreto Refinada,Acabamento,455,148,141.56,228.44
Brita Premium,Acabamento,629,405,256.47,433.09
Tijolo Residencial,Estrutura,313,264,284.19,441.0
Argamassa Premium,Acabamento,141,161,471.84,887.27
Bloco de Concreto Reforçada,Estrutura,430,186,136.97,225.19
Tinta Acrílica Industrial,Iluminação,913,409,468.66,685.75
Canos PVC Reforçada,Hidráulica,394,128,403.41,954.57
Lâmpada LED Refinada,Elétrica,997,483,366.79,561.81
Prego Reforçada,Hidráulica,207,107,394.5,819.73
Tomada Industrial,Hidráulica,56,388,304.69,483.27
Areia Comum,Iluminação,749,424,125.82,215.07
Tinta Acrílica Residencial,Acabamento,766,446,98.8,141.32
Prego Industrial,Elétrica,212,405,433.84,934.17
Rejunte Residencial,Acabamento,270,67,363.94,775.95
Porta de Madeira Comercial,Hidráulica,699,431,110.54,125.04
Rejunte Reforçada,Estrutura,33,65,309.47,366.5
Lâmpada LED Residencial,Hidráulica,696,143,226.54,541.73
Parafuso Comercial,Acabamento,795,463,83.53,195.82
Cimento Comum,Hidráulica,349,52,268.27,485.17
Telha de Zinco Refinada,Estrutura,421,127,144.35,258.49
Telha Cerâmica Refinada,Iluminação,982,469,52.64,117.78
Telha Cerâmica Industrial,Acabamento,270,490,236.14,305.53
Bloco de Concreto Premium,Hidráulica,295,320,297.1,598.71
Bloco de Concreto Industrial,Acabamento,522,206,28.22,49.85
Telha Cerâmica Extra,Iluminação,95,319,204.04,436.78
Areia Industrial,Hidráulica,859,215,132.54,151.38
Lâmpada LED Comercial,Hidráulica,439,67,20.17,38.92
Parafuso Comum,Acabamento,590,446,67.2,126.3
Tinta Acrílica Comercial,Acabamento,40,61,73.82,168.1
Parafuso Residencial,Estrutura,719,209,95.52,195.58
Parafuso Reforçada,Iluminação,612,336,402.67,939.12
Brita Refinada,Estrutura,449,326,222.55,521.25
Janela de Alumínio Extra,Hidráulica,994,369,77.81,130.05
Fio Elétrico Residencial,Acabamento,358,428,54.65,70.63
Fio Elétrico Refinada,Hidráulica,904,51,152.48,302.28
Brita Residencial,Hidráulica,421,115,400.02,929.34
Canos PVC Comercial,Elétrica,537,380,185.41,223.41
Porta de Madeira Premium,Elétrica,319,457,84.15,158.29
Tomada Refinada,Hidráulica,958,382,205.04,258.56
Tinta Acrílica Refinada,Acabamento,405,64,279.88,318.45
Interruptor Comum,Hidráulica,797,129,19.64,40.29
Canos PVC Extra,Elétrica,347,176,315.68,648.59
Telha Cerâmica Comum,Acabamento,683,277,200.57,389.29
Canos PVC Premium,Hidráulica,446,479,9.81,22.59
Janela de Alumínio Refinada,Iluminação,713,412,338.58,410.77
Telha Cerâmica Residencial,Iluminação,672,162,357.63,446.09
Argamassa Extra,Hidráulica,374,464,316.28,730.72
Cimento Reforçada,Acabamento,932,331,174.26,314.47
Madeira Serrada Refinada,Hidráulica,122,151,267.15,395.99
Madeira Serrada Comercial,Hidráulica,794,349,196.64,419.52
Fio Elétrico Premium,Elétrica,185,235,351.81,827.52
Telha de Zinco Comercial,Iluminação,158,157,293.87,606.97
Areia Reforçada,Elétrica,187,467,45.49,100.47
Tomada Comercial,Elétrica,945,425,323.33,483.54
Tijolo Refinada,Hidráulica,391,326,345.18,519.25
Madeira Serrada Residencial,Elétrica,232,105,188.5,435.39
Areia Residencial,Iluminação,268,305,438.51,859.83
Tijolo Comum,Elétrica,794,254,422.29,602.96
Rejunte Comum,Iluminação,198,357,91.71,168.18
Parafuso Industrial,Elétrica,315,454,452.61,932.47
Tomada Comum,Iluminação,387,443,223.23,313.85
Janela de Alumínio Reforçada,Elétrica,611,112,363.26,732.65
Tinta Acrílica Premium,Elétrica,352,29,407.98,472.85
Porta de Madeira Extra,Acabamento,783,11,255.03,388.96
Brita Comum,Iluminação,165,176,202.56,413.94
Argamassa Refinada,Iluminação,721,478,458.15,599.76
Telha de Zinco Premium,Iluminação,64,337,119.27,168.3
Parafuso Premium,Estrutura,775,45,132.2,308.12
Telha de Zinco Residencial,Elétrica,451,170,184.0,376.11
Telha Cerâmica Comercial,Iluminação,694,129,430.44,774.14
Interruptor Refinada,Estrutura,209,244,469.7,655.35
Madeira Serrada Comum,Acabamento,412,352,113.93,179.78
Prego Comercial,Iluminação,623,202,432.62,823.74
Areia Comercial,Iluminação,806,225,132.81,174.97
Fio Elétrico Extra,Estrutura,672,79,485.47,861.44
Parafuso Refinada,Elétrica,632,309,300.72,502.97
Tomada Premium,Acabamento,937,34,8.51,15.04
Tomada Reforçada,Iluminação,787,51,21.89,27.31
Lâmpada LED Premium,Elétrica,612,160,78.0,97.43
Madeira Serrada Industrial,Acabamento,186,468,97.85,239.71
Telha de Zinco Industrial,Hidráulica,458,83,384.97,951.31
Lâmpada LED Industrial,Hidráulica,752,327,115.27,195.57
Argamassa Residencial,Acabamento,550,434,484.73,1068.63
Interruptor Industrial,Estrutura,964,25,319.88,645.55
Prego Premium,Acabamento,310,224,347.8,439.51
Porta de Madeira Residencial,Acabamento,716,445,112.82,170.96
Janela de Alumínio Comum,Estrutura,316,316,446.89,687.81
Brita Industrial,Estrutura,760,153,335.57,649.02
Cimento Extra,Elétrica,878,292,432.88,827.65
Cimento Comercial,Elétrica,905,413,478.46,1144.91
Janela de Alumínio Residencial,Estrutura,276,94,67.19,148.22
Cimento Industrial,Hidráulica,223,224,52.81,121.44
Canos PVC Residencial,Hidráulica,603,266,402.69,945.4
Brita Extra,Acabamento,649,436,433.73,963.66
Fio Elétrico Comercial,Iluminação,492,40,293.96,460.35
Telha de Zinco Comum,Acabamento,271,132,186.17,260.83
Bloco de Concreto Extra,Acabamento,76,65,328.05,623.45
Lâmpada LED Comum,Iluminação,583,396,156.3,322.82
Rejunte Industrial,Estrutura,142,446,123.0,201.87
Interruptor Premium,Hidráulica,658,209,246.63,564.21
Argamassa Reforçada,Acabamento,549,473,112.0,273.82
Canos PVC Comum,Iluminação,521,152,244.43,463.72
Madeira Serrada Premium,Elétrica,220,171,478.52,832.26
Parafuso Extra,Acabamento,997,397,420.69,959.19
Argamassa Comum,Hidráulica,996,324,471.11,534.23
Rejunte Premium,Estrutura,726,58,404.13,517.54
Tijolo Extra,Acabamento,262,183,180.6,412.48
Cimento Premium,Acabamento,47,489,406.96,864.72
Brita Comercial,Iluminação,52,179,461.84,777.09
Prego Comum,Elétrica,638,321,473.78,1110.73
Rejunte Extra,Elétrica,414,323,343.18,546.36
Janela de Alumínio Comercial,Estrutura,996,11,109.63,217.88
Porta de Madeira Comum,Hidráulica,711,458,24.67,49.05
Areia Refinada,Estrutura,55,67,77.86,105.74
Tinta Acrílica Comum,Acabamento,463,426,482.95,723.84
Prego Refinada,Acabamento,687,328,233.74,556.86
Argamassa Industrial,Elétrica,314,201,428.22,581.0
Interruptor Extra,Hidráulica,724,474,235.2,315.87
Prego Residencial,Iluminação,242,5,332.1,588.3
Interruptor Residencial,Hidráulica,254,14,16.95,20.83
Areia Extra,Acabamento,730,41,128.68,302.72
Cimento Refinada,Iluminação,769,30,220.95,274.02
Lâmpada LED Extra,Hidráulica,304,469,317.16,622.64
Fio Elétrico Comum,Hidráulica,848,180,89.9,141.65
Interruptor Comercial,Iluminação,392,261,383.45,853.55
Bloco de Concreto Comercial,Acabamento,167,288,185.38,356.99
Bloco de Concreto Residencial,Hidráulica,414,412,409.63,673.28
Fio Elétrico Industrial,Iluminação,10,20,53.49,132.52
Rejunte Refinada,Acabamento,226,379,341.48,407.29
Canos PVC Refinada,Iluminação,937,181,150.2,286.72
Telha de Zinco Reforçada,Iluminação,516,183,398.71,990.95
Areia Premium,Hidráulica,770,243,204.07,421.88
Tinta Acrílica Reforçada,Acabamento,913,349,334.35,714.06
Lâmpada LED Reforçada,Hidráulica,590,148,467.48,535.23
Argamassa Comercial,Estrutura,39,255,15.21,17.19
